count	reward_sum	squared_reward_sum	length
449	-65.36833286036317	3.7407620095958585	2000
450	-58.669516046341634	4.519866780374175	2000
451	-91.53671531727049	7.479492471364026	2000
452	-41.4417136180737	3.2498993616172016	2000
453	-54.003764055273564	5.310789240273696	2000
454	-44.17815366705991	3.763993614323319	2000
455	-35.70945477353673	6.155539076763225	2000
456	-39.309052910712424	5.616293116893283	2000
457	-70.06835152877426	7.661149515959749	2000
458	-56.49487900852283	7.34806807750307	2000
459	-43.79438291320342	5.459782568307024	2000
460	-42.5920995641514	4.2207634366735665	2000
461	-42.73657550118622	3.787727409832482	2000
462	-61.5415216596234	5.3098193520902255	2000
463	-60.97581975103897	4.9561078719565765	2000
464	-62.789744891221325	9.585247035309136	2000
465	-56.09208854092706	8.599864619843855	2000
466	-25.16063247560529	3.678579143005327	2000
467	-31.03401557169475	6.715665045997051	2000
468	-26.49823065393661	7.532011940434994	2000
469	20.0649883755051	16.252958222005358	2000
470	-42.53313658184944	6.4000906094427465	2000
471	-32.742452578244325	3.8747701490760966	2000
472	-47.851731867959245	4.374690991945046	2000
473	-50.38128046488975	4.1212002585316085	2000
474	-34.20461840199855	4.784320458784997	2000
475	-65.37186860874476	6.256482238350855	2000
476	-47.465207680691634	7.07824278680439	2000
477	-46.27034057757419	4.965067251822081	2000
478	-41.708649867657826	7.538717175378622	2000
479	-58.03557348254294	4.274666536929274	2000
480	-106.92152771272946	7.893488343859168	2000
481	-50.08552644705591	5.411571933035775	2000
482	-42.81334470807133	6.555450915297491	2000
483	-34.63804865596477	8.73598029165973	2000
484	-36.353495349186154	4.125523991655892	2000
485	-11.016382306694668	15.813529696433957	2000
486	-37.02286081343904	3.6009895651848165	2000
487	-32.290599650760456	4.508054312729019	2000
488	-35.89341380664931	7.226519924202511	2000
489	-58.60796751743957	3.0416207676596363	2000
490	-51.54952175650836	3.540708953024155	2000
491	-52.4877872632263	8.018964373073715	2000
492	-65.79023335527746	5.408381972544967	2000
493	-27.335395444459675	7.589876376923631	2000
494	-23.37843908909859	7.324913822144421	2000
